sıcaklık,havanemi,topraknemi,isiksiddeti,rüzgarhizi,verimlilik
27,75,81,6,2,85
35,86,67,7,1,72
20,70,52,4,5,60
15,72,60,4,5,58
23,65,70,4,5,67
19,80,52,4,5,55
37,72,80,8,1,78
38,84,60,8,2,62
33,78,75,7,1,88
26,67,75,6,2,81
26,69,75,8,4,77
22,54,70,4,5,63
33,75,52,4,5,60
26,60,75,6,2,82
26,64,75,8,4,74
22,56,85,4,5,60
35,80,80,8,1,85
35,82,62,8,1,63
14,45,52,4,5,54
19,49,52,4,5,62
17,50,52,4,5,63
17,47,52,4,5,61
19,48,52,4,5,60
23,72,52,4,5,65
19,55,52,4,5,60
26,69,75,8,4,77
22,54,70,4,5,63
33,75,52,4,5,60
26,60,75,6,2,82
26,60,75,6,2,82
26,64,75,8,4,74
35,86,67,7,1,72
20,70,52,4,5,60
15,72,60,4,5,58
23,65,70,4,5,67
19,80,52,4,5,55
37,72,80,8,1,78
38,84,60,8,2,62
26,69,75,8,4,77
35,86,67,7,1,72
20,70,52,4,5,60
15,72,60,4,5,58
23,65,70,4,5,67
19,80,52,4,5,55
37,72,80,8,1,78
38,84,60,8,2,62
26,69,75,8,4,77
22,54,70,4,5,63
33,75,52,4,5,60
26,60,75,6,2,82
